task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
bioavailability_ma,AUROC,validation_top3_average,404,9,0,,,0.6591286997006983,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top3_average_seed_404.csv
bioavailability_ma,AUROC,uniform_candidate_average,404,9,0,,,0.7020285999334885,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/uniform_candidate_average_seed_404.csv
bioavailability_ma,AUROC,validation_stacking,404,9,0,,,0.6345194546059195,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_stacking_seed_404.csv
bioavailability_ma,AUROC,common_pool_taskwise_selector,404,9,6,per_task_single,,0.6321915530428999,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_taskwise_selector_seed_404.csv
bioavailability_ma,AUROC,common_pool_automl,404,9,6,,0.0,0.6687728633189225,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_automl_seed_404.csv
bioavailability_ma,AUROC,global_single,505,9,0,,,0.646824077153309,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/global_single_seed_505.csv
bioavailability_ma,AUROC,per_task_single,505,9,0,,,0.6444961755902894,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/per_task_single_seed_505.csv
bioavailability_ma,AUROC,validation_top2_average,505,9,0,,,0.6478217492517458,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top2_average_seed_505.csv
bioavailability_ma,AUROC,validation_top3_average,505,9,0,,,0.6787495843032922,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top3_average_seed_505.csv
bioavailability_ma,AUROC,uniform_candidate_average,505,9,0,,,0.6677751912204856,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/uniform_candidate_average_seed_505.csv
bioavailability_ma,AUROC,validation_stacking,505,9,0,,,0.6248752909876953,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_stacking_seed_505.csv
bioavailability_ma,AUROC,common_pool_taskwise_selector,505,9,6,per_task_single,,0.6444961755902894,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_taskwise_selector_seed_505.csv
