task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
lipophilicity_astrazeneca,MAE,validation_stacking,9,0.5146131430981485,0.004013964506286064,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
lipophilicity_astrazeneca,MAE,validation_top2_average,9,0.5563194900861309,0.0,5,deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
lipophilicity_astrazeneca,MAE,validation_top3_average,9,0.5110306947009524,0.0016224395858039763,5,deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear;chem_fp_chemberta_kpgt_xgb
pgp_broccatelli,AUROC,global_single,9,0.9292855238603039,0.002326036839058273,5,chem_fp_chemberta_kpgt_ept_xgb
pgp_broccatelli,AUROC,per_task_single,9,0.9292855238603039,0.002326036839058273,5,chem_fp_chemberta_kpgt_ept_xgb
pgp_broccatelli,AUROC,uniform_candidate_average,9,0.9379365502532657,0.0036469797134792135,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
pgp_broccatelli,AUROC,validation_stacking,9,0.9307118101839509,0.010108310554979499,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
pgp_broccatelli,AUROC,validation_top2_average,9,0.9329778725673152,0.0007264423670188612,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
pgp_broccatelli,AUROC,validation_top3_average,9,0.9361503599040256,0.0007715167223933719,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
ppbr_az,MAE,global_single,9,9.195011191413238,0.11245284464004507,5,chem_fp_chemberta_kpgt_ept_xgb
ppbr_az,MAE,per_task_single,9,9.195011191413238,0.11245284464004507,5,chem_fp_chemberta_kpgt_ept_xgb
